District,Confirmed,State,Week
AP_S.P.S. Nellore,2245,Andhra Pradesh,61
AP_S.P.S. Nellore,1883,Andhra Pradesh,62
AP_S.P.S. Nellore,1633,Andhra Pradesh,63
AP_S.P.S. Nellore,1448,Andhra Pradesh,64
AP_S.P.S. Nellore,1585,Andhra Pradesh,65
AP_S.P.S. Nellore,1506,Andhra Pradesh,66
AP_S.P.S. Nellore,1650,Andhra Pradesh,67
AP_S.P.S. Nellore,1521,Andhra Pradesh,68
AP_S.P.S. Nellore,1596,Andhra Pradesh,69
AP_S.P.S. Nellore,1472,Andhra Pradesh,70
AP_Srikakulam,0,Andhra Pradesh,1
AP_Srikakulam,0,Andhra Pradesh,2
AP_Srikakulam,5,Andhra Pradesh,3
AP_Srikakulam,0,Andhra Pradesh,4
AP_Srikakulam,2,Andhra Pradesh,5
AP_Srikakulam,9,Andhra Pradesh,6
AP_Srikakulam,7,Andhra Pradesh,7
AP_Srikakulam,8,Andhra Pradesh,8
AP_Srikakulam,8,Andhra Pradesh,9
AP_Srikakulam,20,Andhra Pradesh,10
AP_Srikakulam,3,Andhra Pradesh,11
AP_Srikakulam,31,Andhra Pradesh,12
AP_Srikakulam,757,Andhra Pradesh,13
AP_Srikakulam,1184,Andhra Pradesh,14
AP_Srikakulam,2264,Andhra Pradesh,15
AP_Srikakulam,2727,Andhra Pradesh,16
AP_Srikakulam,3502,Andhra Pradesh,17
AP_Srikakulam,3431,Andhra Pradesh,18
AP_Srikakulam,4264,Andhra Pradesh,19
AP_Srikakulam,4014,Andhra Pradesh,20
AP_Srikakulam,4930,Andhra Pradesh,21
AP_Srikakulam,4331,Andhra Pradesh,22
AP_Srikakulam,3971,Andhra Pradesh,23
